Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"PWY-5910","1.3851239669421","0.0092","0.0024","0.0067","0.0019","-0.004018","-0.0009823","-0.002564","0.002616","0.005715"
"PWY-7456","4.0025698682943","0.0125","0.0068","0.0031","0.0017","-0.01297","-0.006053","-0.009344","3.207E-5","0.0001588"
"VALDEG-PWY","1.4988588196935","0.0092","0.0037","0.0061","0.0025","-0.005312","-0.0006489","-0.003059","0.01227","0.02206"
"P261-PWY","0.6428738317757","0.0055","0.0033","0.0086","0.0036","0.0005391","0.005646","0.003057","0.01227","0.02206"
"PWY-722","0.64782067247821","0.0052","0.0024","0.008","0.0028","0.0009491","0.004755","0.002828","0.01077","0.01986"
"PWY-622","0.43625192012289","0.004","0.0029","0.0091","0.0071","0.001582","0.009566","0.005137","0.01797","0.02967"
"PWY-5531","2.3038674033149","0.0088","0.0041","0.0038","0.0016","-0.007385","-0.002992","-0.004957","0.0001034","0.0003731"
"PWY-7159","2.3038674033149","0.0088","0.0041","0.0038","0.0016","-0.007381","-0.002832","-0.004957","0.0001034","0.0003731"
"PWY-922","1.386144964721","0.0065","0.0017","0.0047","0.0014","-0.002903","-0.0007409","-0.001806","0.002616","0.005715"
"PWY-7013","5.6519073569482","0.0083","0.0042","0.0015","0.0012","-0.009263","-0.004652","-0.00683","7.468E-6","0.0001135"
"PWY-5507","1.9407894736842","0.0062","0.0057","0.0032","0.0023","-0.006077","-0.0002955","-0.003004","0.3232","0.3804"
"FUCCAT-PWY","2.9599413776258","0.0061","0.0027","0.002","0.0007","-0.005534","-0.002694","-0.004013","2.136E-5","0.00014"
"PWY-5656","2.2142857142857","0.0056","0.0013","0.0025","0.0018","-0.004182","-0.001956","-0.00306","0.0001247","0.0004251"
"PWY-5529","7.8349136883054","0.0064","0.0051","0.0008","0.0008","-0.008439","-0.003073","-0.005623","8.547E-5","0.000334"
"PWY-7046","0.57319059809169","0.0025","0.0018","0.0043","0.0033","-4.094E-5","0.003839","0.001833","0.1129","0.1494"
"PWY-5198","14.741293532338","0.0059","0.0061","0.0004","0.0006","-0.008691","-0.002697","-0.005523","0.0001247","0.0004251"
