Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"Animal Pathogen-Endophyte-Ericoid Mycorrhizal-Plant Pathogen-Wood Saprotroph","0.15913359208714","0.0013","0.0041","0.008","0.0163","-0.0009078","0.01543","0.006716","0.09405","0.1254"
"Fungal Parasite-Plant Pathogen-Plant Saprotroph","","0","0","0.0085","0.0095","0.004175","0.01325","0.008532","0.001379","0.003793"
"Dung Saprotroph-Undefined Saprotroph","0.022724427194191","0.0002","0.0007","0.008","0.0102","0.002906","0.01271","0.007807","0.003956","0.008926"
"Bryophyte Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Undefined Saprotroph-Wood Saprotroph","0.10257098460234","0.0007","0.0016","0.0071","0.0119","0.00109","0.01343","0.006354","0.07197","0.1055"
"Plant Pathogen-Undefined Saprotroph","0.048777210427304","0.0004","0.0009","0.0074","0.0129","0.001815","0.01488","0.00708","0.004344","0.009325"
"Bryophyte Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Undefined Saprotroph","0.057138359830002","0.0004","0.0014","0.0064","0.0098","0.001816","0.01144","0.005991","0.01121","0.01973"
"Epiphyte","","0","0","0.0067","0.0076","0.003087","0.01071","0.006718","0.0005291","0.001791"
"Lichenized-Undefined Saprotroph","","0","0","0.0056","0.0182","0","0.01579","0.005627","0.07932","0.1093"
"Algal Parasite-Fungal Parasite-Undefined Saprotroph","","0","0","0.0051","0.0046","0.002905","0.007444","0.005084","0.0001841","0.0007713"
"Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph","","0","0","0.0047","0.0169","0","0.01398","0.00472","0.1649","0.2032"
"Dung Saprotroph-Plant Saprotroph-Wood Saprotroph","","0","0","0.0045","0.0087","0.0009075","0.009076","0.004538","0.007835","0.01427"
"Algal Parasite--Leaf Saprotroph-Wood Saprotroph","0.086946107784431","0.0004","0.0009","0.0042","0.0099","-1.82E-9","0.009803","0.003812","0.172","0.2074"
"Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph","0.375","0.0011","0.0022","0.0029","0.0052","-0.000726","0.004902","0.001816","0.359","0.3807"
"Bryophyte Parasite-Litter Saprotroph-Wood Saprotroph","0.11762799740765","0.0004","0.0014","0.0031","0.0096","-0.0007261","0.008351","0.002723","0.5211","0.5332"
"Epiphyte-Plant Pathogen","","0","0","0.0034","0.0077","0.0003631","0.007986","0.003449","0.03785","0.05843"
"Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph","","0","0","0.0033","0.0057","0.0007261","0.006172","0.003268","0.01762","0.03038"
"Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph","0.30766949152542","0.0007","0.0027","0.0024","0.0039","-0.0009082","0.004176","0.001634","0.1905","0.2265"
"Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph","","0","0","0.0031","0.0095","0","0.008532","0.003086","0.07946","0.1093"
"Endophyte-Undefined Saprotroph-Wood Saprotroph","0.06665442526625","0.0002","0.0007","0.0027","0.0046","0.000363","0.005266","0.002542","0.06308","0.09408"
