Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"1.7.3.3","0.009207","0.02579","0.0161","0.0029","0.0107","0.0034","0.0143","0.0042","0.009","0.0002","0.0198","0.0058","0.012","0.0014","0.024","0.0135","0.0155","0.0003"
"3.1.21.7","0.002308","0.01834","0.0172","0.0022","0.0111","0.0027","0.0135","0.0034","0.0094","0.0005","0.02","0.004","0.0111","0.0007","0.0246","0.0133","0.0145","0.0002"
"3.4.17.21","0.1919","0.2248","0.0131","0.0027","0.0155","0.0065","0.0149","0.0049","0.0196","0.0057","0.011","0.0029","0.0182","0.0068","0.0112","0.0059","0.0177","0.0007"
"4.1.1.28","0.4077","0.4315","0.0152","0.0052","0.0156","0.006","0.017","0.0059","0.0177","0.0053","0.0172","0.0036","0.0128","0.0044","0.0115","0.0026","0.0126","0.0005"
"3.2.1.31","0.2234","0.2565","0.0138","0.0019","0.0136","0.005","0.016","0.0032","0.0148","0.0021","0.0123","0.002","0.0168","0.0037","0.0155","0.0014","0.0162","0.0006"
"2.3.1.57","0.01629","0.03631","0.0185","0.003","0.0111","0.0031","0.0141","0.0025","0.0107","0.001","0.017","0.0023","0.0175","0.0024","0.0143","0.0024","0.0156","0.0008"
"1.13.11.1","0.05327","0.08191","0.0146","0.0038","0.0118","0.0016","0.0154","0.0022","0.0131","0.001","0.0127","0.0024","0.0186","0.0026","0.0154","0.0033","0.0162","0.0006"
"3.5.99.7","0.01096","0.02855","0.0143","0.0021","0.0129","0.0017","0.0149","0.0029","0.0118","0.0016","0.0133","0.0019","0.0197","0.0025","0.0155","0.0015","0.0154","0.0005"
"4.3.1.4","0.135","0.1668","0.0128","0.0049","0.0169","0.0055","0.014","0.004","0.0197","0.0046","0.0123","0.0036","0.0161","0.0035","0.0093","0.004","0.0152","0.0009"
"3.5.5.1","0.553","0.5686","0.0154","0.0018","0.0137","0.0043","0.0158","0.0039","0.0142","0.0005","0.0126","0.0028","0.0157","0.0005","0.0145","0.0032","0.0143","0.0006"
"2.1.1.187","0.002893","0.01834","0.0159","0.0019","0.0107","0.0026","0.0139","0.0047","0.0079","0.0007","0.0215","0.0065","0.0099","0.0007","0.0241","0.0143","0.0124","0.0004"
