"Species name",CK-Mean(%),CK-Sd(%),Tb-Mean(%),Tb-Sd(%),Pvalue,"Corrected pvalue","Lower ci","Upper ci",Effectsize
g__Periconia,0.01452,0.0182,0.0005446,0.002038,0.005116,0.02387,0.005809,0.02323,0.01398
g__Goffeauzyma,0.01416,0.03939,0.0001815,0.0006792,0.1217,0.2298,0.0005445,0.03703,0.01398
g__Terfezia,0.01416,0.02331,0,0,0.001383,0.009827,0.00345,0.02759,0.01416
g__Cutaneotrichosporon,0.01325,0.01647,0.0009076,0.002749,0.02484,0.06955,0.003993,0.02178,0.01234
g__Helicoma,0.01343,0.01967,0.0005446,0.002038,0.0003587,0.00408,0.00472,0.02432,0.01289
g__unclassified_f__Ceratobasidiaceae,0.01361,0.03068,0.000363,0.001358,0.007091,0.02972,0.001997,0.03178,0.01325
g__Fusarium,0.01144,0.01256,0.002178,0.005447,0.02154,0.06164,0.002906,0.01616,0.009258
g__Vanrija,0.01162,0.02047,0.001815,0.002322,0.2783,0.3895,0.001452,0.02196,0.009803
g__unclassified_o__Venturiales,0.01343,0.03022,0,0,0.003377,0.01798,0.001634,0.03086,0.01343
g__Cylindrocarpon,0.01343,0.05026,0,0,0.3531,0.3895,0,0.04031,0.01344
g__Cephalotrichum,0.01289,0.04678,0.000363,0.0009228,0.9098,0.9444,-0.0005445,0.03829,0.01252
g__Clavulina,0,0,0.01325,0.04532,0.07946,0.155,-0.03831,-0.0001815,-0.01325
g__Lycoperdon,0.007624,0.007392,0.005446,0.01416,0.01002,0.03613,-0.00617,0.009622,0.002179
g__Peziza,0.007987,0.02206,0.005083,0.01632,0.1663,0.2536,-0.01053,0.0187,0.002904
g__unclassified_f__Gyroporaceae,0.01252,0.04614,0.0005446,0.002038,0.5782,0.6165,-0.001089,0.03703,0.01198
g__unclassified_o__GS18,0.01289,0.02173,0,0,0.003392,0.01798,0.003267,0.02414,0.01289
g__Simplicillium,0.01089,0.01089,0.001997,0.004131,0.004911,0.02312,0.003086,0.0147,0.008894
g__Monochaetia,0.01234,0.0134,0.0005446,0.001082,0.0008592,0.006808,0.005083,0.01924,0.0118
g__Nodulisporium,0.01252,0.02779,0.0001815,0.0006792,0.003608,0.01859,0.002904,0.02777,0.01234
g__Ochroconis,0.01252,0.01404,0.0001815,0.0006792,0.009463,0.03444,0.005627,0.01961,0.01234
g__Pseudosigmoidea,0.01198,0.01599,0.0005446,0.001471,0.005638,0.02565,0.00363,0.02051,0.01144
g__Leptobacillium,0.0118,0.01223,0.0005446,0.001471,0.0003191,0.003788,0.005811,0.01852,0.01126
g__Phaeosphaeria,0.01216,0.03064,0,0,0.01759,0.05258,0.0005445,0.03067,0.01216
g__unclassified_o__Leucosporidiales,0.0118,0.02665,0.0001815,0.0006792,0.01034,0.03618,0.002179,0.0276,0.01162
g__Clitopilus,0.009984,0.02827,0.001997,0.007471,0.0494,0.1163,-0.003267,0.02468,0.007985
g__Geastrum,0.0118,0.0278,0,0,0.007885,0.02972,0.001452,0.02668,0.0118
g__Rhizodermea,0.01144,0.01563,0.0001815,0.0006792,0.00142,0.009943,0.004176,0.02124,0.01126
g__Lectera,0.01162,0.0288,0,0,0.01762,0.05258,0.001271,0.0274,0.01162
g__unclassified_c__Agaricostilbomycetes,0,0,0.01162,0.03563,0.1649,0.2522,-0.03049,0,-0.01161
g__unclassified_f__Cucurbitariaceae,0.01071,0.02216,0.0009076,0.001609,0.02539,0.07073,0.001453,0.02196,0.009803
g__Pestalotiopsis,0.01017,0.01894,0.001271,0.004754,0.03715,0.08963,-0.0003631,0.02015,0.008894
g__Didymella,0.01053,0.02237,0.0009076,0.001609,0.1291,0.2414,0.0007262,0.02323,0.009621
g__unclassified_f__Clavicipitaceae,0.01071,0.03443,0.0005446,0.002038,0.2736,0.3895,-0.0005445,0.02922,0.01016
g__Stilbella,0.01125,0.01765,0,0,0.0005223,0.004934,0.003086,0.02106,0.01125
g__Titaea,0.01071,0.03791,0.000363,0.0009228,0.5582,0.5988,-0.000363,0.03104,0.01035
